{'838517446269087745': {'fullname': b'Ayesha Khalid', 'timestamp': '2017-03-05 22:31:52', 'user': 'ayesshakhalid', 'replies': '1', 'likes': '3', 'retweets': '0'}}
{'838516797510909953': {'fullname': b'Khurram', 'timestamp': '2017-03-05 22:29:18', 'user': 'IKB77', 'replies': '1', 'likes': '1', 'retweets': '0'}}
{'838492038744125440': {'fullname': b'Imran', 'timestamp': '2017-03-05 20:50:55', 'user': 'imranPmlN', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'838460987762225152': {'fullname': b'Aman Khan \xc2\xa0\xf0\x9f\x87\xb5\xf0\x9f\x87\xb0', 'timestamp': '2017-03-05 18:47:31', 'user': 'AmanEmums', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'838458994314346497': {'fullname': b'iQra', 'timestamp': '2017-03-05 18:39:36', 'user': 'iqraanwar0', 'replies': '3', 'likes': '20', 'retweets': '10'}}
{'838457752401940481': {'fullname': b'Rana Saqib Saeed', 'timestamp': '2017-03-05 18:34:40', 'user': 'ranasaqibsaeed', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'838449043428769797': {'fullname': b'Rana Saqib Saeed', 'timestamp': '2017-03-05 18:00:04', 'user': 'ranasaqibsaeed', 'replies': '0', 'likes': '1', 'retweets': '1'}}
{'838447648885653505': {'fullname': b'Qadeer Ahmad', 'timestamp': '2017-03-05 17:54:31', 'user': 'Qdeerahmad', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'838447626806771714': {'fullname': b'Adeel Tahir', 'timestamp': '2017-03-05 17:54:26', 'user': 'adtahirsh', 'replies': '0', 'likes': '4', 'retweets': '0'}}
{'838447624105652224': {'fullname': b'Rana Saqib Saeed', 'timestamp': '2017-03-05 17:54:25', 'user': 'ranasaqibsaeed', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'838446973858549765': {'fullname': b'a\xc9\xa6\xca\x8da\xc9\x96 a\xca\x84\xca\x80\xc9\xa8\xc9\x96\xc9\xa8', 'timestamp': '2017-03-05 17:51:50', 'user': 'ImAhmad06', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'838446143629557760': {'fullname': b'Rayyan', 'timestamp': '2017-03-05 17:48:32', 'user': 'cool_rayyan1', 'replies': '0', 'likes': '6', 'retweets': '2'}}
{'838436113261998083': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-03-05 17:08:41', 'user': 'syedams1', 'replies': '0', 'likes': '2', 'retweets': '2'}}
{'838433352592023552': {'fullname': b'Rana Saqib Saeed', 'timestamp': '2017-03-05 16:57:43', 'user': 'ranasaqibsaeed', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'838431864767537152': {'fullname': b'Qadeer Ahmad', 'timestamp': '2017-03-05 16:51:48', 'user': 'Qdeerahmad', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'838431438739505154': {'fullname': b'Rana Saqib Saeed', 'timestamp': '2017-03-05 16:50:06', 'user': 'ranasaqibsaeed', 'replies': '1', 'likes': '2', 'retweets': '0'}}
{'838431106961707008': {'fullname': b'Rana Saqib Saeed', 'timestamp': '2017-03-05 16:48:47', 'user': 'ranasaqibsaeed', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'838430972219699201': {'fullname': b'Rana Saqib Saeed', 'timestamp': '2017-03-05 16:48:15', 'user': 'ranasaqibsaeed', 'replies': '0', 'likes': '2', 'retweets': '1'}}
{'838427094682042368': {'fullname': b'Rana Saqib Saeed', 'timestamp': '2017-03-05 16:32:51', 'user': 'ranasaqibsaeed', 'replies': '0', 'likes': '0', 'retweets': '1'}}
{'838426778548973570': {'fullname': b'Rana Saqib Saeed', 'timestamp': '2017-03-05 16:31:35', 'user': 'ranasaqibsaeed', 'replies': '0', 'likes': '0', 'retweets': '1'}}
{'908058207658094594': {'fullname': b'Ammar', 'timestamp': '2017-09-13 20:02:02', 'user': 'ammarkhi', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'908043150203252738': {'fullname': b'\xd8\xb9\xd9\x85\xd8\xb1\xd8\xa7\xd9\x86 \xd8\xb1\xd8\xa7\xd8\xa4', 'timestamp': '2017-09-13 19:02:12', 'user': 'raoimran553', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'907969646741082113': {'fullname': b'Khawar Mumtaz', 'timestamp': '2017-09-13 14:10:07', 'user': 'amjkuwait', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'907943273972596736': {'fullname': b'MB', 'timestamp': '2017-09-13 12:25:19', 'user': 'mb3official', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'907880906546958336': {'fullname': b'\xd8\xb4\xd8\xa7\xdb\x81 \xd8\xa8\xd8\xb1\xda\xbe\xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xdb\x81\xd9\x86\xd8\xaf\xdb\x8c', 'timestamp': '2017-09-13 08:17:30', 'user': 'GoFJ', 'replies': '1', 'likes': '1', 'retweets': '1'}}
{'907848969996423168': {'fullname': b'SAAD KHAN \xc2\xa6\xc2\xa6\xd8\xb3\xd8\xb9\xd8\xaf \xd8\xae\xd8\xa7\xd9\x86', 'timestamp': '2017-09-13 06:10:36', 'user': 'SaadKhan711', 'replies': '0', 'likes': '2', 'retweets': '2'}}
{'907727650109706240': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-09-12 22:08:31', 'user': 'syedams1', 'replies': '0', 'likes': '2', 'retweets': '0'}}
{'907695086422642690': {'fullname': b'iaamna', 'timestamp': '2017-09-12 19:59:07', 'user': 'AamnaSarim', 'replies': '0', 'likes': '4', 'retweets': '1'}}
{'907686053867290629': {'fullname': b'MB', 'timestamp': '2017-09-12 19:23:13', 'user': 'mb3official', 'replies': '0', 'likes': '1', 'retweets': '1'}}
{'907676355722084353': {'fullname': b'\xd8\xb9\xd9\x84\xdb\x8c \xd8\xb4\xdb\x8c\xd8\xb1\xd8\xa7\xd8\xb2\xdb\x8c', 'timestamp': '2017-09-12 18:44:41', 'user': 'alisherazi85', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'907663479477358593': {'fullname': b'Shakeel Arshad', 'timestamp': '2017-09-12 17:53:31', 'user': 'Shakeel__PK', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'907622970490806272': {'fullname': b'Dr Humma Saeef', 'timestamp': '2017-09-12 15:12:33', 'user': 'HummaSaif', 'replies': '4', 'likes': '28', 'retweets': '13'}}
{'907618209662164992': {'fullname': b'Dr Humma Saeef', 'timestamp': '2017-09-12 14:53:38', 'user': 'HummaSaif', 'replies': '1', 'likes': '19', 'retweets': '8'}}
{'907607344854466561': {'fullname': b'\xd8\xb3\xd8\xb1\xda\xaf\xd9\x88\xd8\xaf\xda\xbe\xd8\xa7 \xda\xa9\xd8\xa7 \xd9\x85\xd8\xb3\xd9\x84\xd9\x85 \xd9\x84\xdb\x8c\xda\xaf\xdb\x8c \xd8\xb4\xdb\x8c\xd8\xb1', 'timestamp': '2017-09-12 14:10:28', 'user': 'arain_pmln', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'907570820054228994': {'fullname': b'Umar Saddique', 'timestamp': '2017-09-12 11:45:20', 'user': 'umarpmlnn', 'replies': '1', 'likes': '94', 'retweets': '42'}}
{'907389094078111745': {'fullname': b'Dr Humma Saeef', 'timestamp': '2017-09-11 23:43:13', 'user': 'HummaSaif', 'replies': '0', 'likes': '16', 'retweets': '1'}}
{'907177761592274944': {'fullname': b'iaamna', 'timestamp': '2017-09-11 09:43:27', 'user': 'AamnaSarim', 'replies': '0', 'likes': '4', 'retweets': '0'}}
{'907119340885082112': {'fullname': b'Sohail Khan', 'timestamp': '2017-09-11 05:51:18', 'user': 'Sohail_banaras', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'906995582434201610': {'fullname': b'MB', 'timestamp': '2017-09-10 21:39:32', 'user': 'mb3official', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'906995108809240576': {'fullname': b'MB', 'timestamp': '2017-09-10 21:37:39', 'user': 'mb3official', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'934138257918627840': {'fullname': b'ZM', 'timestamp': '2017-11-24 19:14:50', 'user': 'ZeshanMalick', 'replies': '2', 'likes': '121', 'retweets': '53'}}
{'934111295774838785': {'fullname': b'Irfan Afridi', 'timestamp': '2017-11-24 17:27:42', 'user': 'IrfanAfridi85', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'934105748648480769': {'fullname': b'AB\xc2\xa0\xe2\x9a\x93', 'timestamp': '2017-11-24 17:05:39', 'user': 'itsCaptainAB', 'replies': '0', 'likes': '1', 'retweets': '1'}}
{'934054779722051584': {'fullname': b'AB\xc2\xa0\xe2\x9a\x93', 'timestamp': '2017-11-24 13:43:08', 'user': 'itsCaptainAB', 'replies': '0', 'likes': '1', 'retweets': '1'}}
{'933707738009530368': {'fullname': b'AB\xc2\xa0\xe2\x9a\x93', 'timestamp': '2017-11-23 14:44:06', 'user': 'itsCaptainAB', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'933694248293224448': {'fullname': b'\xe2\x84\xa2\xd9\x86\xd8\xa7\xd8\xa7\xdb\x81\xd9\x84 \xd8\xb3\xdb\x8c\xd8\xa7\xd8\xb3\xdb\x8c \xd9\x85\xd8\xa4\xd8\xb1\xd8\xae', 'timestamp': '2017-11-23 13:50:30', 'user': 'Asmi_Malik_', 'replies': '3', 'likes': '28', 'retweets': '19'}}
{'933628413193179137': {'fullname': b'R@miz', 'timestamp': '2017-11-23 09:28:54', 'user': 'Opto_Bot', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'933600829281533952': {'fullname': b'Muhammad Jalal Ishaq', 'timestamp': '2017-11-23 07:39:17', 'user': 'Jalal_Ishaq', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'933353263218425857': {'fullname': b'\xd9\x84\xd8\xa7\xdb\x81\xd9\x88\xd8\xb1 \xda\xa9\xd8\xa7 \xd9\xbe\xd9\xb9\xd9\x88\xd8\xa7\xd8\xb1\xdb\x8c \xd8\xb4\xdb\x8c\xd8\xb1', 'timestamp': '2017-11-22 15:15:33', 'user': 'FalakNsher', 'replies': '0', 'likes': '1', 'retweets': '1'}}
{'933352834837467136': {'fullname': b'ZM', 'timestamp': '2017-11-22 15:13:51', 'user': 'ZeshanMalick', 'replies': '2', 'likes': '85', 'retweets': '54'}}
{'933299336401883136': {'fullname': b'Young Pakistani', 'timestamp': '2017-11-22 11:41:16', 'user': 'OnePakistani', 'replies': '0', 'likes': '0', 'retweets': '1'}}
{'933230224342269952': {'fullname': b'Muhammad Usman', 'timestamp': '2017-11-22 07:06:38', 'user': 'usmanz92', 'replies': '1', 'likes': '0', 'retweets': '0'}}
{'933071847129743360': {'fullname': b'mehmood', 'timestamp': '2017-11-21 20:37:18', 'user': 'mmehmood99', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'932998548165185540': {'fullname': b'AB\xc2\xa0\xe2\x9a\x93', 'timestamp': '2017-11-21 15:46:02', 'user': 'itsCaptainAB', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'932984856975433729': {'fullname': b'IMRAN', 'timestamp': '2017-11-21 14:51:38', 'user': 'imran_azad27', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'932910516674154496': {'fullname': b'Irfan Afridi', 'timestamp': '2017-11-21 09:56:14', 'user': 'IrfanAfridi85', 'replies': '0', 'likes': '0', 'retweets': '0'}}
